nds_id	link_name_chn	link_length	road_class	link_type	xy	dir
5127158059403051021	G42沪蓉高速	114	41000	3	LINESTRING(111.599931 30.743034,111.599121 30.742884,111.598767 30.742820)	2
5127159777389969426	G42沪蓉高速	31	41000	0	LINESTRING(111.881638 30.790252,111.881386 30.790075)	2
5127158055108083830	G42沪蓉高速	65	41000	0	LINESTRING(111.598257 30.742739,111.597582 30.742632)	2
5127158244086644895	G42沪蓉高速	52	41000	0	LINESTRING(111.631710 30.747884,111.631184 30.747755)	2
5127158055108083829	G42沪蓉高速	49	41000	0	LINESTRING(111.598767 30.742820,111.598257 30.742739)	2
5127158244086644743	G42沪蓉高速	224	41000	0	LINESTRING(111.633448 30.748297,111.632783 30.748147,111.631184 30.747755)	2
5127158055108083827	G42沪蓉高速	148	41000	0	LINESTRING(111.589492 30.741436,111.590098 30.741543,111.591015 30.741693)	0
5127158080877887488	G42沪蓉高速	396	41000	0	LINESTRING(111.577545 30.738164,111.577148 30.737997,111.575603 30.737359,111.573839 30.736570)	2
5127158244086644736	G42沪蓉高速	37	41000	0	LINESTRING(111.630219 30.747401,111.630599 30.747492)	0
5127158244086644814	G42沪蓉高速	1191	41000	0	LINESTRING(111.633475 30.748195,111.635132 30.748549,111.637278 30.748941,111.638507 30.749134,111.640958 30.749445,111.642584 30.749617,111.643066 30.749654,111.643683 30.749702,111.645749 30.749831)	0
5127158261266513923	G42沪蓉高速	1780	41000	0	LINESTRING(111.677442 30.749643,111.679856 30.749397,111.682575 30.749225,111.683868 30.749171,111.684861 30.749150,111.686352 30.749145,111.687012 30.749150,111.687350 30.749155,111.690118 30.749257,111.691856 30.749381,111.693771 30.749558,111.695965 30.749831)	0
5127159798864805931	G42沪蓉高速	76	41000	0	LINESTRING(111.847258 30.777646,111.848052 30.777737)	0
5127159798864806148	G42沪蓉高速	107	41000	0	LINESTRING(111.856758 30.779287,111.855669 30.779051)	2
5127158055108083734	G42沪蓉高速	187	41000	3	LINESTRING(111.587582 30.741060,111.588237 30.741194,111.589192 30.741382,111.589492 30.741436)	0
5127158055108083731	G42沪蓉高速	260	41000	0	LINESTRING(111.592147 30.741962,111.591407 30.741849,111.590071 30.741624,111.589476 30.741527)	2
5127158055108083828	G42沪蓉高速	57	41000	0	LINESTRING(111.591015 30.741693,111.591600 30.741779)	0
5127159798864805927	G42沪蓉高速	33	41000	0	LINESTRING(111.846603 30.777656,111.846260 30.777614)	2
5127159798864805930	G42沪蓉高速	60	41000	0	LINESTRING(111.847225 30.777742,111.846603 30.777656)	2
